name;urls;description
Meal IQ;http://getmealiq.com, https://twitter.com/@mealiq, http://crunchbase.com/organization/meal-iq;MealIQ uses AI to help people with health conditions to plan and shop meals in 3 clicks.
MealMe;http://mealme.ai, https://twitter.com/@mealmeai, http://crunchbase.com/organization/mealme;MealMe brings all major food delivery apps into one.
Meal Ticket;http://getmealticket.com, https://twitter.com/@mealtickets, http://crunchbase.com/organization/meal-ticket;Foodservice marketing platform
Meal Village;http://mealvillage.com;Freshly prepared meals made fresh daily, and delivered to the door
Meat-O-Door;http://meattodoor.ae, http://crunchbase.com/organization/meatodoor;Digitizing the Meat Supply Chain for Industry Growth and consumer benefit.
MedEngine;http://medengine.co, https://twitter.com/@medenginegmbh, http://crunchbase.com/organization/medengine;Helping people with Parkinson's track their symptoms and optimize their treatments with Flytta, our wearable and app combination. #medtech #software #hardware
Medeo-health;http://medeo-health.com, https://twitter.com/@medeo_health, http://crunchbase.com/organization/medeo-340c;Medeo helps healthcare providers save time and be more efficient with an intuitive and secure medical software.
Medicast;http://medicast.com, https://twitter.com/@medicast, http://crunchbase.com/organization/medicast;House call doctors on demand. Acquired in 2016 by Providence St. Joseph Health.
MEDIjobs;http://medijobs.ro, https://twitter.com/@MEDIjobsRO, http://crunchbase.com/organization/medijobs;Career Marketplace for Healthcare Recruitment
MedPilot;http://medpilot.com, https://twitter.com/@MedPilotNYC, http://crunchbase.com/organization/medpilot;MedPilot is a patient financial engagement company.
Medscrape;http://medscrape.com, https://twitter.com/@medscrape, http://crunchbase.com/organization/medscrape;Reinventing the global healthcare ecosystem with search
Medsembly;http://medsembly.com, https://twitter.com/@medsembly, http://crunchbase.com/organization/medsembly;Medsembly bridges the gap between healthcare hopefuls and healthcare heroes
Medzoomer;http://medzoomer.com, http://crunchbase.com/organization/medzoomer;On-demand prescription delivery at the touch of a button.
Meenta;http://meenta.io, https://twitter.com/@meentaNGS, http://crunchbase.com/organization/meenta;The world's largest marketplace for diagnostic tests.
MeeteR;http://getmeeter.com, https://twitter.com/@themeeterapp, http://crunchbase.com/organization/meeter-inc;Delivering event management at scale.
MeetFox;http://meetfox.com, https://twitter.com/@myMeetFox, http://crunchbase.com/organization/meet-fox;MeetFox empowers professionals to digitize, manage and monetize interactions with their clients.
MeetMindful;http://meetmindful.com, https://twitter.com/@our_fabriq, http://crunchbase.com/organization/meetmindful;MeetMindful is the meeting ground for your most life-changing and inspiring connections.
Megafans;http://megafans.io, https://twitter.com/@MegafansEsports, http://crunchbase.com/organization/megafans;Mobile esports platform bridging web2 to web3 for gamers and enabling game developers to increase their player lifetime value.
Melanin Kapital;http://melaninkapital.com, https://twitter.com/@MelaninKapital;A financial advisory firm that aims at connecting investors and social impact entrepreneurs.
Mela Works;http://mela.work, http://crunchbase.com/organization/mela-793d;Whatsapp for blue-collar enterprises
Mello;http://siteinander.de, http://crunchbase.com/organization/siteinander;The first sharing economy app for childcare in Europe, where parents can meet other families nearby, plan playdates & organize spontaneous babysitting swaps. #parenttech #familytech #app #childcare
Mellow;http://mellowapp.io, https://twitter.com/@mellowsousvide, http://crunchbase.com/organization/mellow-2353;Mellow is a mobile platform for parents to teach kids 6-18 how to build money habits and use digital payments across savings, spending, and earnings.
Melon Health;http://melonhealth.com, https://twitter.com/@melonhealth, http://crunchbase.com/organization/social-code;Melon Health's mobile health platform helps people manage their health through peer support, access to clinicians and behavior change tools.
Memgraph;http://memgraph.io, https://twitter.com/@memgraphdb, http://crunchbase.com/organization/memgraph;Highly scalable and high performance in-memory graph database.
Memoir;http://yourmemoir.com, https://twitter.com/@memoir, http://crunchbase.com/organization/memoir;The best way to collect, relive, and share memories
MemoryWell;http://memorywell.com, https://twitter.com/@MemoryWell, http://crunchbase.com/organization/memorywell;MemoryWell is a digital platform for healthcare providers that replaces intake questionnaires with brief, professionally written stories that capture SDoH data.
Memrise;http://memrise.com, https://twitter.com/@memrise, http://crunchbase.com/organization/memrise;Turns learning into a compulsive sport
Mentio Technologies;http://mentio.ca, https://twitter.com/@mentioHQ, http://crunchbase.com/organization/judi-ai;Predictive cash flow forecasts to move your business forward
Mentor Collective;http://shearwaterintl.com, https://twitter.com/@shearwaterintl, http://crunchbase.com/organization/shearwater-international;Shearwater keeps students enrolled and engaged.
MentorMob;http://mentormob.com, https://twitter.com/@mentormob, http://crunchbase.com/organization/mentormob;Empowering the lifestyle of learning
Mentor Spaces;http://mentorspaces.com, https://twitter.com/@mentorspaces, http://crunchbase.com/organization/better-weekdays;A community-driven mentorship platform designed to help companies find, hire and retain underrepresented talent.
Merklebot;http://merklebot.com, https://twitter.com/@MerkleB0t, http://crunchbase.com/organization/merklebot;Connecting universe to metaverse
Mesodyne;http://mesodyne.com, http://crunchbase.com/organization/mesodyne;Silent, reliable, long-endurance power from any fuel.
Messy.fm;http://messy.fm, https://twitter.com/@messyfm, http://crunchbase.com/organization/messy-fm;Internal Podcasting for Organizations
mesur.io;http://mesur.io, https://twitter.com/@mesur_io, http://crunchbase.com/organization/mesur-io;mesur.io is enabling small and mid size farmers to accurately seed, grow, and irrigate with confidence, improving process and yield in the first growing season
Meta Construction Technologies;http://broadloop.com, https://twitter.com/@broadloopapp, http://crunchbase.com/organization/meta-construction-technologies;Broadloop lets you see your virtual fleet on a single platform, regardless of who owns or operates the vehicles in the fleet.
MetalMaker 3D;http://metalmaker3d.com, http://crunchbase.com/organization/metalmaker-3d;We are using 3D printing to change the way metal parts are made.
MetaPals;http://metapals.pet, https://twitter.com/@MetaPals, http://crunchbase.com/organization/metapals;MetaPals is a browser extension that allows users to interact and grow NFT pets directly from their browser computer screen.
MeterLeader;http://meterleader.com, https://twitter.com/@MeterLeader, http://crunchbase.com/organization/meterleader;MeterLeader sells its gamification platform to corporations to help with their real estate energy goals (ESG reporting), while also improving employee engagement. Their platform is integrated with real-time utility data and uses challenges to motivate use
MetricsHub;http://metricshub.com, https://twitter.com/@metricshub, http://crunchbase.com/organization/metricshub;Active Cloud Monitoring
Metrobi;http://metrobi.com, https://twitter.com/@MetrobiOfficial, http://crunchbase.com/organization/metrobi;The mind behind last-mile logistics. Metrobi provides a shared service for B2B local deliveries.
miamarketplace;http://miamarketplace.com, https://twitter.com/@mia__ml, http://crunchbase.com/organization/mia-e6df;Mia is the Wix of MLOps - we make applying machine learning as easy as building a website.
MiBolsillo;http://mibolsillo.pe, https://twitter.com/@mibolsilloapp, http://crunchbase.com/organization/mibolsillo;We help MFIs drive customer loyalty, timely payments and uptake of financial services at one fraction of the cost.
MICRON3DP;http://micron3dp.com, https://twitter.com/@Micron3DP, http://crunchbase.com/organization/micron3dp;Pioneering High Speed - High Resolution Metal 3D Printing
microTERRA;http://microterra.com.mx, http://crunchbase.com/organization/microterra;Sustainable protein from wastewater. By combining Biotech and Hardware we develop microalgae systems that transform the fish farms wastewater into fish feed.
Midgame.gg;http://midgame.gg, https://twitter.com/@midgamegg, http://crunchbase.com/organization/midgame;Voice assistant for gamers.
Mighty Audio;http://bemighty.com, https://twitter.com/@MightyUnplugged, http://crunchbase.com/organization/mighty-4;Mighty takes your streaming music, like Spotify, on-the-go without a phone or Internet connection.
MightySignal;http://mightysignal.com, https://twitter.com/@mightysignal, http://crunchbase.com/organization/mightysignal;Hard-to-get-data on every mobile app right at your fingertips
Migrations.ml;http://migrations.ml, http://crunchbase.com/organization/migrations-ml-inc;Migrations.ml uses machine learning to forecast credit risk in capital markets.
Mila;http://mila-learn.com, https://twitter.com/@ask_mila, http://crunchbase.com/organization/mila-79ab;We digitize music therapy into engaging products for accessible technologies.
Milk Moovement;http://milkmoovement.com, https://twitter.com/@MilkMoovement, http://crunchbase.com/organization/milk-moovement;Milk Moovement is transforming the traditional dairy supply chain by bringing all stakeholders onto its collaborative, cloud-based software.
MilkRun;http://localmilkrun.com, https://twitter.com/@LocalMilkRun, http://crunchbase.com/organization/milkrun;A new type of food system built to deliver fresh local groceries every day of the year
Milky Way AI;http://milkyway.ai, http://crunchbase.com/organization/milky-way-ai;Digitizing physical retail with AI and Computer Vision
Mimedik;http://mimedik.com, https://twitter.com/@mimedik, http://crunchbase.com/organization/mimedik;Mimedik helps the 2 million healthcare providers in Mexico reduce patient onboarding times by enabling automation
Mimo;http://getmimo.com, https://twitter.com/@getmimo, http://crunchbase.com/organization/mimo-inc;Mimo is an iOS app that teaches programming, HTML, CSS, JavaScript, Swift, and more through gamified and interactive lessons on the go.
Mind-Easy;http://mind-easy.com, http://crunchbase.com/organization/mind-easy;Redefining global mental healthcare.
Mindfire Technology;http://mindfiretechnology.com, https://twitter.com/@MindfireTech, http://crunchbase.com/organization/mindfire-technology;For companies that have huge software backlogs, we supply highly skilled engineering talent. We write custom web systems and mobile apps.
Mindi;http://mindi.io, https://twitter.com/@minditech, http://crunchbase.com/organization/mindi;Mindi combines the best of human and artificial intelligence to create optimal solutions.
Mindmate;http://mindmate-app.com, https://twitter.com/@citrus_labs, http://crunchbase.com/organization/dementcare-ltd;Citruslabs is the most advanced platform for clinical trial patient recruitment & retention that provides automated patient engagement with every interaction.
MindStand Technologies;http://mindstand.com, https://twitter.com/@MindStandT, http://crunchbase.com/organization/mindstand-technologies;Measuring company culture, one post at a time
Mine'd;http://doyoumined.com, http://crunchbase.com/organization/mine-d;A platform for consumers to discover and interact with emotional health experts and for those experts to engage and monetize their audience.
Mini City;http://minicityatl.com, https://twitter.com/@minicityatl, http://crunchbase.com/organization/mini-city;Tech enabled solutions to alleviate homelessness.
Mini Monos;http://minimonos.com, https://twitter.com/@minimonos, http://crunchbase.com/organization/minimonos;online virtual games
Mint State Labs;http://mintstatelabs.com, https://twitter.com/@MintStateLabs, http://crunchbase.com/organization/mint-state-labs;Mint State Labs is looking to bring gaming enthusiast communities together with web3.0 technologies. MSL: Innovate, Create, Connect.
MINWO;http://minwo.co, https://twitter.com/@MINWO_Co, http://crunchbase.com/organization/minwo;MINWO is centralizing the Black business development ecosystem by providing community-as-a-service.
MIO ROBOT KIOSKs;http://miokiosk.com, https://twitter.com/@MioRobots, http://crunchbase.com/organization/mio-mobile-kiosk;Bringing your desires
Missfits;http://missfits.co, http://crunchbase.com/organization/missfits;Every woman deserves a bra that fits.
MITO Material Solutions;http://mitomaterials.com, https://twitter.com/@MITO_Materials, http://crunchbase.com/organization/mito-material-solutions;MITO Material Solutions manufactures hybrid nano-additives, enabling composite manufacturers to create tougher, lighter, and more durable products.
Miuros;http://miuros.com, https://twitter.com/@miuros_software, http://crunchbase.com/organization/miuros;Smarter and faster Customer Service
MixPose;http://mixpose.com, https://twitter.com/@mixpose, http://crunchbase.com/organization/mixpose;MixPose's streaming platform leverages artificial intelligence to empower yoga instructors, personal trainers and dance teachers.
Mobiag;http://mobiag.com, https://twitter.com/@mobiagsaas, http://crunchbase.com/organization/mobiag#/entity;Connecting car fleets to end-users through a global partner network.
MobileDevHQ;http://mobiledevhq.com, https://twitter.com/@MobileDevHQ, http://crunchbase.com/organization/mobiledevhq;App store optimization
Mobile Fluid Recovery;http://mobilefluid.com, http://crunchbase.com/organization/mobile-fluid-recovery;Mobile Fluid Recovery separates liquids from solids in industrial waste streams so that each can be managed more economically and sustainably.
MobIntent;http://mobintent.com, https://twitter.com/@mobintent, http://crunchbase.com/organization/mobintent;Mobile ad optimization
Mobius;http://mobius.co, https://twitter.com/@mobiuspbc, http://crunchbase.com/organization/grow-bioplastics;We're creating a world where There's Wonder in Waste. We envision a future where waste streams are upcycled into chemicals and materials.
Mocavo;http://mocavo.com, https://twitter.com/@mocavo, http://crunchbase.com/organization/mocavo;Genealogy search engine
Mockmate;http://mockmate.com, https://twitter.com/@MockMate, http://crunchbase.com/organization/mockmate;Traditional recruitment is dead. Mockmate helps: job seekers practice interviewing, and companies screen candidates faster using natural language processing.
Modabound;http://modabound.com, https://twitter.com/@modabound, http://crunchbase.com/organization/modabound;Local fashion marketplace
Modal Living;http://livemodal.com, http://crunchbase.com/organization/modal-living;Modal helps homeowners increase property value and generate income through ADUs.
ModelMe3D;http://modelme3d.nl, http://crunchbase.com/organization/modelme3d;Add Dimension to your city data
Modern;http://modernis.com, https://twitter.com/@modernb2b, http://crunchbase.com/organization/my-dealer-service;My Dealer Service provides software solutions to heavy equipment dealers creating elevated customer experiences, increasing customer retention and revenue.
ModernGuild;http://modernguild.com, https://twitter.com/@modernguild, http://crunchbase.com/organization/modern-guild;1-on-1, online tutoring programs to help students maximize their college experience and find the career they love
MODICA;http://madebymodica.com, https://twitter.com/@madebyMODICA, http://crunchbase.com/organization/modica-microindustries;Self-organizing, super-scalable Factory-as-a-Service modules, deployed anywhere.
Modicus Prime;http://modicusprime.com, https://twitter.com/@ModicusP, http://crunchbase.com/organization/modicus-prime;Offering AI/ML solutions integrating heterogenous life sciences data for anomaly detection, monitoring and enhanced decision making
MODU;http://moduresearch.com, http://crunchbase.com/organization/modu-c3d6;MODU is creating the first immersive network for visual and audial media. Captured and created from any camera-enabled device in the world.
Module;http://modulehousing.com, https://twitter.com/@ModuleHousing, http://crunchbase.com/organization/module;Module designs housing that changes as your needs do.
Mogotest;http://mogotest.com, https://twitter.com/@mogotest, http://crunchbase.com/organization/mogotest;Web consistency testing service
MOLG;http://molg.ai;MOLG helps complex electronic products companies design/manufacture more sustainable products using proprietary design software, autonomous robotics, and an open source traceability system.
Momentum Test Company A;http://test-company-a.test.com, http://crunchbase.com/organization/channel-intelligence;Channel Intelligence develops technology that connects shoppers with retailers through their brand website and digital media.
Momentum Test Company B;http://test-company-b.test.com;
Mona Labs;http://monahq.com, https://twitter.com/@ShopWithMona, http://crunchbase.com/organization/mona-2;Mona is an artificial intelligence based personal shopping assistant that learns customer preferences and simplifies the mobile shopping experience
Mondaycar;http://hiveway.co, https://twitter.com/@gohiveway, http://crunchbase.com/organization/hiveway-f715;A way for everyone to participate in the financing of shared cars in an easy and profitable way, without the need of ever seeing a car
Monetizr;http://themonetizr.com, https://twitter.com/@TheMonetizr, http://crunchbase.com/organization/themonetizr#/entity;Monetizr is a marketplace enabling game developers to reward and monetize their players with physical rewards.
Moni;http://getmoni.com, https://twitter.com/@monimobile, http://crunchbase.com/organization/moni-technologies;Mobile money transfer
Monitaur;http://monitaur.ai, https://twitter.com/@MonitaurAI, http://crunchbase.com/organization/monitaur;Transparency and assurance software for AI #Compliance #Healthcare #AI
Monkey Analytics;http://monkeyanalytics.com, http://crunchbase.com/organization/monkey-analytics;Scalable data mining in the cloud
MoQuality;http://moquality.com, https://twitter.com/@moqualityinc, http://crunchbase.com/organization/moquality;Revolutionizing Mobile Testing with Intelligent Tools
Morpheus Space;http://morpheus-space.com, https://twitter.com/@MorpheusSpace, http://crunchbase.com/organization/morpheus-space;A leading satellite mobility provider enabling truly dynamic satellite constellations by the fusion of cutting-edge in-space propulsion with A.I.
MorphL;http://morphl.ai, https://twitter.com/@morphlio, http://crunchbase.com/organization/morphl;MorphL is a platform that helps eCommerce companies that struggle with AI adoption, by lowering the barrier to integrating AI-based solutions.
Mortar Data;http://mortardata.com, https://twitter.com/@mortardata, http://crunchbase.com/organization/mortar-data;Easy Hadoop in the cloud
Morty;http://morty.co, https://twitter.com/@himorty, http://crunchbase.com/organization/morty;Morty is the first ever fully-digital mortgage broker.
Mosaic Manufacturing;http://mosaicmanufacturing.com, https://twitter.com/@mosaicmfg, http://crunchbase.com/organization/mosaic-manufacturing;Mosaic develops multi-color and multi-material desktop 3D printing technologies.
Motics Technologies Ltd;http://motics.co.uk, https://twitter.com/@moticshealth, http://crunchbase.com/organization/motics;Motics provides physiotherapy, medical, health, and fitness services.
Motivo;http://wearemotivo.com, https://twitter.com/@wearemotivo, http://crunchbase.com/organization/motivo-d380;Motivo is an online platform that helps mental health therapists get credentialed in a faster, easier way.
Motoroso;http://motoroso.com, https://twitter.com/@motorosoapp, http://crunchbase.com/organization/motoroso;Motoroso.com is the market network for the $36B auto aftermarket, bringing enthusiasts and businesses together on a single platform. Motoroso is like Houzz.com for gearheads.
Moveline;http://moveline.com, https://twitter.com/@moveline, http://crunchbase.com/organization/moveline;Web app to help people move long distances and save money
MOWIES;http://mowies.com, https://twitter.com/@mowiesinc, http://crunchbase.com/organization/mowies;Mowies is a film and TV shows marketplace for filmmakers, distributors, and consumers, empowering creators to sell directly to their customers.
Moxie Jean;http://moxiejean.com, https://twitter.com/@MoxieJeanKids, http://crunchbase.com/organization/moxie-jean;Upscale Resale
MR Presta;http://mrprestatech.com, https://twitter.com/@MrPresta, http://crunchbase.com/organization/mr-presta;Small Business Lending Platform for companies in Emerging Markets
MSBAI;http://msb.ai, https://twitter.com/@microsurgeonbot, http://crunchbase.com/organization/msbai;GURU, the ultimate engineering AI assistant.
MS Chemical;http://laurastoy.com;
mtion interactive;http://mtion.tv, https://twitter.com/@mtiontv, http://crunchbase.com/organization/mtion;Mtion connects streamers with their fans through shared 3D experiences.
muffintech GmbH;http://getmuffin.de, http://crunchbase.com/organization/muffin-5586;
Multy;http://multy.dev, http://crunchbase.com/organization/multy-88af;Multy is a tool that enables developers to deploy and switch to any cloud provider (e.g. AWS, Azure, GCP) with our universal API.
Murfie;http://murfie.com, https://twitter.com/@murfiemusic, http://crunchbase.com/organization/murfie;Music lovers collect
Muse Finance;http://getmymuse.com, https://twitter.com/@musefinance, http://crunchbase.com/organization/muse-0331;Helping SME's take back control, with simple transparent finance & cash flow forecasting
MUSE Robotics;http://muserobotics.com, https://twitter.com/@museRobotics, http://crunchbase.com/organization/muserobotics;We are standardizing the core robot components, so that new robots are built in months, not years, and at a fraction of the cost.
Mushroom Material;http://mushroommaterial.com, http://crunchbase.com/organization/mushroom-material;A sustainable mushroom based alternative to polystyrene Styrofoam and cardboard packaging
Musicasa;http://musicasaa.com, https://twitter.com/@musicasalive, http://crunchbase.com/organization/musicasalive;Giving users the chance to connect in real-time with talented independent and emerging musicians through intimate home concerts.
Musicbuk;http://musicbuk.com, https://twitter.com/@musicbuk, http://crunchbase.com/organization/musicbuk;Musicbuk is a virtual learning platform that gives students access to trusted, vetted, professional music instructors for 1-on-1 music lessons
Music Mania Games;http://play.google.com/store/apps/details?id=com.musicgame.musicmania&gl=ca, https://twitter.com/@musicgamesco, http://crunchbase.com/organization/music-games-company;We make products at the intersection of music and gaming. Fun, enjoyable experiences that leave a great taste in your mind, and keep you coming back for more.
Music Tech Works;http://musictechworks.com, https://twitter.com/@RightsHolderio, http://crunchbase.com/organization/music-tech-works;We organize the world's copyright ownership information in order to streamline the music licensing process.
Mutable;http://mutable.io, https://twitter.com/@mutable, http://crunchbase.com/organization/live-sqrd;Microservices platform that streamlines the development process
Muuktest;http://muuktest.com, https://twitter.com/@MuukTest, http://crunchbase.com/organization/muuktest;MuukTest, the first and only Software Quality Engineering acceleration platform. We give ANYONE software testing superpowers that make them 20x faster.
MyAniml;http://myaniml.com, https://twitter.com/@myaniml, http://crunchbase.com/organization/myaniml;Using AI to predict and track diseases in cattle.
MyARC Fitness;http://myarc.io, http://crunchbase.com/organization/myarc;MyARC - Empowering fitness creators to get the world fit. To view the company one-page summary click here - https://app.buildmemo.com/s/myzr06
MyBetterFit;http://betterfittechnologies.com, https://twitter.com/@mybetterfit, http://crunchbase.com/organization/betterfit-technologies;Personalized medicine for everyone
MyCover.ai;http://mycover.ai, https://twitter.com/@MyCoverAI, http://crunchbase.com/organization/mycover-ai;Revolutionizing the way Africans experience insurance by embedding policies into their favorite products and services, all while simplifying claims processes
Mycroft;http://mycroft.ai, https://twitter.com/@mycroft_ai, http://crunchbase.com/organization/mycroft-ai-inc;Mycroft has developed an open source artificial intelligence platform for the connected home and beyond.
MyFavorito;http://myfavorito.com, https://twitter.com/@myfavoritoapp, http://crunchbase.com/organization/myfavorito;"MyFavorito helps the ""Fortune 5 million"" sports clubs around the world to make more money and attract more sponsors."
MyFitPod;http://myfitpod.com, https://twitter.com/@MyFitPod, http://crunchbase.com/organization/myfitpod;MyFitPod is a Business In A Box Solution for independent fitness & wellness professionals to serve and connect with the aging adult population.
MYMA.io;http://myma.io, https://twitter.com/@wifiplug, http://crunchbase.com/organization/wifi-plug;We make washing machines smart
My Panda;http://mypandaapp.com, https://twitter.com/@mypandaapp, http://crunchbase.com/organization/my-panda;Busy, ambitious women use our app to connect to trusted local assistants
myTamarin;http://mytamarin.com, https://twitter.com/@mytamarinchats, http://crunchbase.com/organization/mytamarin;A tech-enabled childcare marketplace and a one-stop-shop for all needs childcare.
MytruQ;http://mytruq.com, https://twitter.com/@MytruQ, http://crunchbase.com/organization/truq-logistics;Automating and optomizing short haul logistics arcoss Africa
NABL;http://prevent.one, https://twitter.com/@nabldc, http://crunchbase.com/organization/nabl;Prevent One is working on a preventive medecine solution.
Naborforce;http://naborforce.com, https://twitter.com/@naborforce, http://crunchbase.com/organization/naborforce;Naborforce connects older adults to a network of вЂњNaborsвЂќ for social engagement and on-demand support for errands, transportation and help around the home.
Nabu;http://nabu.io, https://twitter.com/@nabu_io, http://crunchbase.com/organization/nabu;The platform that connects shipping data to logistics tools.
NaCa Fermentation;http://nacaferm.com, https://twitter.com/@nacaferm, http://crunchbase.com/organization/naca-fermentation#/entity;Fast, high quality fermentation for distilleries, breweries, and wineries.
nagish;http://talknagish.com, https://twitter.com/@nagish_inc, http://crunchbase.com/organization/nagish;Nagish lets people who are deaf or hard of hearing to communicate via phone by converting speech-to-text and text-to-speech faster and more accurately.
NAL Media;http://nal-media.com, https://twitter.com/@brijapp, http://crunchbase.com/organization/nal-media-brij;An app that's democratizing access to mentorship in music
Narmi;http://narmitech.com, https://twitter.com/@Narmi_Tech, http://crunchbase.com/organization/narmi;Helps financial institutions attract, engage and retain customers through superior online and mobile banking
NarrativeDx;http://narrativedx.com, https://twitter.com/@narrativedx, http://crunchbase.com/organization/narrativedx;NarrativeDx uses AI to help patient experience leaders identify actionable insights from patient feedback
NATIX;http://natix.io, https://twitter.com/@natix_io, http://crunchbase.com/organization/natix-31b0;We make any camera smart and 100% privacy compliant! Utilising our patent-pending technology, we are creating the largest crowd-sourced camera network worldwide.
Natufia Labs;http://natufia.com, https://twitter.com/@NATUFIA_Labs, http://crunchbase.com/organization/natufia-labs;Access to a sustainable, easy and immediate supply of fresh greens is a human right. We are the Nespresso for plants and herbs.
Natural Intelligence Systems;http://naturalsemi.com, https://twitter.com/@n_i_systems, http://crunchbase.com/organization/natural-intelligence-semiconductor;Developer of next generation pattern based AI/ML systems.
Nautilus Labs;http://nautiluslabs.co, https://twitter.com/@NautilusLabs1, http://crunchbase.com/organization/nautilus-labs-2;Nautilus Labs is advancing the efficiency of ocean commerce through artificial intelligence.
Navarra Tech;http://navarratech.com, http://crunchbase.com/organization/navarratech;A platform proposes solutions that combine the practical with the usual for traders.
Navina;http://drinknavina.com, https://twitter.com/@drinkcale;
NBD Nano;http://nbdnano.com, https://twitter.com/@nbdnano, http://crunchbase.com/organization/nbd-nanotechnologies-inc;Developing enhanced condensation and anti-wetting surface coatings
NConnex;http://nconnex.com, https://twitter.com/@nconnex, http://crunchbase.com/organization/nconnex;Digitizing products and environments, merging them seamlessly to boost shopping experience
Near Technology;http://feelnear.com, http://crunchbase.com/organization/near-technology-inc;Providing personalized 1-on-1 tech coaching for existing and new devices to help older adult users stay connected with their family and friends
Nebulab;http://nebulab.io, https://twitter.com/@nebulab_io, http://crunchbase.com/organization/nebulab;Contextual data management for life scientists
Nectar;http://usenectar.com, https://twitter.com/@AskNectar, http://crunchbase.com/organization/nectar-7c9c;Marketplace for real estate cashflow.
Nell;http://myhealthchecked.com, https://twitter.com/@nell_health, http://crunchbase.com/organization/nell-natural-elements#section-overview;Nell delivers 100% natural vitamin shots for time-pressed people.
Neolth;http://neolth.com, https://twitter.com/@neolth, http://crunchbase.com/organization/neolth;Neolth provides on-demand, individualized mental health support for the 40 million high school and college students in the US.
Neon Wild;http://neonwild.com, http://crunchbase.com/organization/neon-wild;Neon Wild transforms any child into a custom avatar as the star of immersive stories and games.
Neopenda;http://neopenda.com, https://twitter.com/@Neopenda_Health, http://crunchbase.com/organization/neopenda;Innovating life-saving medical technologies for emerging markets.
NestReady;http://nestready.co, https://twitter.com/@realnavut, http://crunchbase.com/organization/navut;Moving anywhere in the world should be as simple as moving around the corner.
Nestrom;http://nestrom.com, https://twitter.com/@Nestrom, http://crunchbase.com/organization/nestrom;The platform enables cost control & rapid servicing through automation of work-orders & workflows for field teams in industries like Energy & Utilities, Facilities Management, Construction, Mining, and Manufacturing.
NetCloak;http://netcloak.io, https://twitter.com/@NetCloakInc, http://crunchbase.com/organization/netcloak;NetCloak is pioneering AI privacy technology by automatically detecting and securing high risk employee data.
Netra;http://netra.io, https://twitter.com/@netrainc, http://crunchbase.com/organization/netra-systems-inc;Netra delivers smarter video analytics for retail intelligence... that just works.
Neu;http://neucleans.com, https://twitter.com/@use_neu, http://crunchbase.com/organization/neu;neu is a reliable platform that provides quality cleans, on-demand.
Neufluence;http://neufluence.com, http://crunchbase.com/organization/neufluence;SaaS-Based, inclusion-focused creator marketplace
Neurala;http://neurala.com, https://twitter.com/@neurala, http://crunchbase.com/organization/neurala;Builds brains for robots
NeuralSpace;http://neuralspace.ai, https://twitter.com/@NeuralSpace, http://crunchbase.com/organization/neural-space;The modular NLP Toolkit for Asian, Middle Eastern and African Languages
NeuroApplied;http://neuroapplied.com, https://twitter.com/@NeuroApplied, http://crunchbase.com/organization/neuroapplied;We reveal customers' thoughts about brands without directly asking them
Neurofit VR;http://neurofit.ca, https://twitter.com/@neurofitvr, http://crunchbase.com/organization/neurofit-vr-inc;SaaS Virtual Reality Rehabilitation
NeuroGeneces;http://neurogeneces.com, https://twitter.com/@NeuroGeneces, http://crunchbase.com/organization/neurogeneces;NeuroGeneces is a seed-stage startup providing a scientifically proven safe and effective way to improve memory while you sleep.
neuroLytixs;http://neurolytixs.com, http://crunchbase.com/organization/neurolytixs;Brain Health For The Next Generation
Newsela;http://newsela.com, https://twitter.com/@Newsela, http://crunchbase.com/organization/newsela;Daily news articles that are extracted from national and regional newspapers
Newt;http://newtfit.com, http://crunchbase.com/organization/newt-personalized-nutrition;Newt is a digital platform that promotes a healthier, fitter you by providing tailored daily support from certified nutritionists based on behavioral science.
NexLP;http://nexlp.com, https://twitter.com/@NexLP_Inc, http://crunchbase.com/organization/nexlp;An analytics software company, focused on the eDiscovery and Information Governance industry
Nexosis;http://nexosis.com, https://twitter.com/@nexosis, http://crunchbase.com/organization/nexosis;Providing retailers an automated machine learning platform enabling better data driven decisions.
Next Big Sound;http://nextbigsound.com, https://twitter.com/@nextbigsound, http://crunchbase.com/organization/next-big-sound;Knowledge to navigate the modern music industry
Nextly;http://nextly.com, https://twitter.com/@nextly, http://crunchbase.com/organization/nextly;Browse handpicked collections of webpages, and curate your own
NextStep.io;http://nextstep.io, https://twitter.com/@nextstepio, http://crunchbase.com/organization/nextstep-io;NextStep.io makes it simple for health and fitness professionals to connect with their clients activity tracking devices or apps. FitBits, Fuelbands, Strava, etc
NexusEdge;http://nexusedge.com, https://twitter.com/@getnexusedge, http://crunchbase.com/organization/nexusedge-inc;Define Your Career Path
nFlux;http://nflux.ai, https://twitter.com/@nfluxAI, http://crunchbase.com/organization/nflux-ai;The Ask Engine that can contextually understand the content of user's data enabling them to quickly make sense of this massive ocean of unstructured data.
NGHBR;http://nghbr.app;
Nickelytics;http://nickelytics.com, http://crunchbase.com/organization/the-nickel-ride;Nickelytics driving advertising forward.
NICKL;http://nicklpass.com, https://twitter.com/@nicklco, http://crunchbase.com/organization/nic-kl#section-overview;NICKL makes it easy for individuals and organizations to personalize and manage their digital content subscriptions in one place.
Nicolette;http://nicolette.com, https://twitter.com/@nicoboard, http://crunchbase.com/organization/nicolette;Patient empowerment. Provider partnership.
